Date,Value
1/5/2012,3.91
2/2/2012,3.87
3/1/2012,3.9
4/5/2012,3.98
5/3/2012,3.84
6/7/2012,3.67
7/5/2012,3.62
8/2/2012,3.55
9/6/2012,3.55
10/4/2012,3.36
11/1/2012,3.39
12/6/2012,3.34
1/3/2013,3.34
2/7/2013,3.53
3/7/2013,3.52
4/4/2013,3.54
5/2/2013,3.35
6/6/2013,3.91
7/3/2013,4.29
8/1/2013,4.39
9/5/2013,4.57
10/3/2013,4.22
11/7/2013,4.16
12/5/2013,4.46
1/2/2014,4.53
2/6/2014,4.23
3/6/2014,4.28
4/3/2014,4.41
5/1/2014,4.29
6/5/2014,4.14
7/3/2014,4.12
8/7/2014,4.14
9/4/2014,4.1
10/2/2014,4.19
11/6/2014,4.02
12/4/2014,3.89
1/8/2015,3.73
2/5/2015,3.59
3/5/2015,3.75
4/2/2015,3.7
5/7/2015,3.8
6/4/2015,3.87
7/2/2015,4.08
8/6/2015,3.91
9/3/2015,3.89
10/1/2015,3.85
11/5/2015,3.87
12/3/2015,3.93
1/7/2016,3.97
2/4/2016,3.72
3/3/2016,3.64
4/7/2016,3.59
5/5/2016,3.61
6/2/2016,3.66
7/7/2016,3.41
8/4/2016,3.43
9/1/2016,3.46
10/6/2016,3.42
11/3/2016,3.54
12/1/2016,4.08
1/5/2017,4.2
2/2/2017,4.19
3/2/2017,4.1
4/6/2017,4.1
5/4/2017,4.02
6/1/2017,3.94
7/6/2017,3.96
8/3/2017,3.93
9/7/2017,3.78
10/5/2017,3.85
11/2/2017,3.94
12/7/2017,3.94
1/4/2018,3.95
2/1/2018,4.22
3/1/2018,4.43
4/5/2018,4.4
5/3/2018,4.55
6/7/2018,4.54
7/5/2018,4.52
8/2/2018,4.6
9/6/2018,4.54
10/4/2018,4.71
11/1/2018,4.83
12/6/2018,4.75
1/3/2019,4.51
2/7/2019,4.41
3/7/2019,4.41
4/4/2019,4.08
5/2/2019,4.14
6/6/2019,3.82
7/3/2019,3.75
8/1/2019,3.75
9/5/2019,3.49
10/3/2019,3.65
11/7/2019,3.69
12/5/2019,3.68
1/2/2020,3.72
2/6/2020,3.45
3/5/2020,3.29
4/2/2020,3.33
5/7/2020,3.26
6/4/2020,3.18
7/2/2020,3.07
8/6/2020,2.88
9/3/2020,2.93
10/1/2020,2.88
11/5/2020,2.78
12/3/2020,2.71
1/7/2021,2.65
2/4/2021,2.73
3/4/2021,3.02
4/1/2021,3.18
5/6/2021,2.96
6/3/2021,2.99
7/1/2021,2.98
8/5/2021,2.77
9/2/2021,2.87
10/7/2021,2.99
11/4/2021,3.09
12/2/2021,3.11
1/6/2022,3.22
2/3/2022,3.55
3/3/2022,3.76
4/7/2022,4.72
5/5/2022,5.27
6/2/2022,5.09
7/7/2022,5.3
8/4/2022,4.99
9/1/2022,5.66
10/6/2022,6.66
11/3/2022,6.95
12/1/2022,6.49
1/5/2023,6.48
2/2/2023,6.09
3/2/2023,6.65
4/6/2023,6.28
5/4/2023,6.39
6/1/2023,6.79
7/6/2023,6.81
8/3/2023,6.9
9/7/2023,7.12
10/5/2023,7.49
11/1/2023,7.63
12/1/2023,7.15
12/15/2023,6.5
