2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
3.91,3.34,4.53,3.73,3.97,4.2,3.95,4.51,3.72,2.65,3.22,6.48
3.87,3.53,4.23,3.59,3.72,4.19,4.22,4.41,3.45,2.73,3.55,6.09
3.90,3.52,4.28,3.75,3.64,4.1,4.43,4.41,3.29,3.02,3.76,6.65
3.98,3.54,4.41,3.70,3.59,4.1,4.4,4.08,3.33,3.18,4.72,6.28
3.84,3.35,4.29,3.80,3.61,4.02,4.55,4.14,3.26,2.96,5.27,6.39
3.67,3.91,4.14,3.87,3.66,3.94,4.54,3.82,3.18,2.99,5.09,6.79
3.62,4.29,4.12,4.08,3.41,3.96,4.52,3.75,3.07,2.98,5.3,6.81
3.55,4.39,4.14,3.91,3.43,3.93,4.6,3.75,2.88,2.77,4.99,6.9
3.55,4.57,4.10,3.89,3.46,3.78,4.54,3.49,2.93,2.87,5.66,7.12
3.36,4.22,4.19,3.85,3.42,3.85,4.71,3.65,2.88,2.99,6.66,7.49
3.39,4.16,4.02,3.87,3.54,3.94,4.83,3.69,2.78,3.09,6.95,7.63
3.34,4.46,3.89,3.93,4.08,3.94,4.75,3.68,2.71,3.11,6.49,6.75
